member_srl,gpo015,dsl015,sex000,dpo015,cto015,gpq015,dpq015,dsl001,cto016,dpo016,dpo087,gpq017,dpq088
2885932,78255.0,23.0,1.0,73.0,4.0,39127.5,40.56,0.0,0.0,0.0,0.0,17960.0,0.0
29854781,91369.0,227.0,1.0,121.67,2.0,45684.5,73.0,0.0,2.0,121.67,0.0,0.0,0.0
473947,82065.5,61.0,1.0,24.33,14.0,39617.83,12.17,0.0,0.0,0.0,0.0,12222.0,0.0
101293287,79527.5,23.0,1.0,40.56,8.0,35345.56,19.21,0.0,4.0,73.0,0.0,19438.89,0.0
40392792,101136.0,14.0,1.0,60.83,5.0,33712.0,22.81,0.0,0.0,0.0,0.0,0.0,0.0
416248,83959.0,18.0,1.0,21.47,16.0,49753.48,13.04,156.0,0.0,0.0,0.0,18698.0,0.0
43200622,88857.47,18.0,1.0,22.81,15.0,38081.77,10.14,0.0,13.0,26.07,0.0,19170.0,0.0
106984490,106445.0,87.0,1.0,121.67,2.0,42578.0,60.83,0.0,2.0,121.67,0.0,14531.43,0.0
13944817,78321.67,36.0,1.0,52.14,6.0,46993.0,33.18,0.0,0.0,0.0,0.0,14806.25,0.0
20028565,80527.0,188.0,1.0,121.67,2.0,40263.5,73.0,0.0,0.0,0.0,0.0,11900.0,0.0
13315020,78223.33,6.0,1.0,52.14,6.0,52148.89,36.5,305.0,3.0,91.25,0.0,14486.67,0.0
109968771,77720.0,33.0,1.0,73.0,4.0,38860.0,40.56,0.0,0.0,0.0,0.0,10865.0,0.0
21981034,82105.0,192.0,1.0,73.0,4.0,32842.0,33.18,0.0,0.0,0.0,0.0,16915.0,0.0
107131918,77547.5,10.0,1.0,73.0,4.0,38773.75,40.56,80.0,0.0,0.0,0.0,12102.5,0.0
43215150,82120.9,18.0,1.0,33.18,10.0,30415.15,13.04,0.0,1.0,182.5,0.0,15501.78,0.0
1997529,81913.33,40.0,1.0,28.08,12.0,33895.17,12.17,0.0,0.0,0.0,0.0,18058.64,0.0
13442392,81336.67,192.0,1.0,91.25,3.0,34858.57,45.63,0.0,0.0,0.0,0.0,12825.0,0.0
232928,77985.0,36.0,1.0,121.67,2.0,31194.0,60.83,0.0,1.0,182.5,0.0,0.0,0.0
2172622,85534.17,20.0,1.0,28.08,12.0,57022.78,19.21,0.0,15.0,22.81,0.0,17745.5,0.0
1179444,76887.5,92.0,1.0,73.0,4.0,30755.0,33.18,0.0,0.0,0.0,0.0,12705.0,0.0
18461292,99559.09,12.0,1.0,30.42,11.0,36505.0,11.77,0.0,4.0,73.0,0.0,17900.0,0.0
38734024,80060.0,184.0,1.0,121.67,2.0,40030.0,73.0,0.0,0.0,0.0,0.0,14405.0,0.0
12189379,93396.88,25.0,1.0,21.47,16.0,48204.84,11.41,0.0,11.0,30.42,0.0,15627.78,0.0
21467810,103153.33,23.0,1.0,91.25,3.0,30946.0,33.18,0.0,0.0,0.0,0.0,10900.0,0.0
1884015,84216.67,209.0,1.0,91.25,3.0,50530.0,60.83,0.0,0.0,0.0,0.0,7940.0,0.0
2178885,83736.0,4.0,1.0,33.18,10.0,36406.96,15.21,0.0,13.0,26.07,0.0,16261.67,0.0
44774,98888.75,5.0,1.0,40.56,8.0,56507.86,24.33,0.0,0.0,0.0,0.0,19269.23,0.0
65590767,77127.5,52.0,1.0,73.0,4.0,44072.86,45.63,0.0,1.0,182.5,0.0,0.0,0.0
56667053,78252.0,18.0,1.0,60.83,5.0,32605.0,28.08,23.0,6.0,52.14,0.0,11278.13,0.0
2145582,78320.0,124.0,1.0,182.5,1.0,39160.0,121.67,0.0,1.0,182.5,0.0,9325.0,0.0
27275316,77539.5,125.0,1.0,52.14,6.0,42294.27,30.42,0.0,0.0,0.0,0.0,15406.67,0.0
107589188,102413.33,32.0,1.0,52.14,6.0,30724.0,17.38,0.0,0.0,0.0,0.0,17141.67,0.0
23026286,81590.0,33.0,1.0,30.42,11.0,52793.53,20.28,0.0,0.0,0.0,0.0,14940.91,0.0
8111310,78595.0,64.0,1.0,40.56,8.0,33092.63,18.25,0.0,0.0,0.0,0.0,16116.79,0.0
100561191,76372.5,92.0,1.0,73.0,4.0,38186.25,40.56,0.0,0.0,0.0,0.0,18735.56,0.0
25860023,81275.0,186.0,1.0,73.0,4.0,32510.0,33.18,0.0,2.0,121.67,0.0,0.0,0.0
241910,77364.0,148.0,1.0,60.83,5.0,42980.0,36.5,0.0,4.0,73.0,0.0,17420.0,0.0
110822895,71864.0,54.0,1.0,60.83,5.0,39924.44,36.5,0.0,10.0,33.18,91.25,8750.0,0.0
4174284,79297.14,132.0,1.0,45.63,7.0,29214.74,18.25,0.0,12.0,28.08,0.0,21480.87,0.0
3877210,89461.5,213.0,1.0,73.0,4.0,32531.45,30.42,0.0,0.0,0.0,0.0,0.0,0.0
6999281,83760.0,183.0,1.0,182.5,1.0,27920.0,91.25,0.0,0.0,0.0,0.0,14900.0,0.0
43207247,76600.0,70.0,1.0,182.5,1.0,38300.0,121.67,89.0,0.0,0.0,0.0,16105.0,0.0
3450277,77510.0,56.0,1.0,52.14,6.0,46506.0,33.18,0.0,0.0,0.0,0.0,16900.0,0.0
1118326,87220.0,204.0,1.0,182.5,1.0,43610.0,121.67,0.0,2.0,121.67,0.0,0.0,0.0
112193050,81940.0,175.0,1.0,182.5,1.0,40970.0,121.67,0.0,0.0,0.0,0.0,16900.0,0.0
2136456,77492.5,73.0,1.0,40.56,8.0,51661.67,28.08,0.0,4.0,73.0,0.0,12037.5,0.0
22705892,81343.33,194.0,1.0,91.25,3.0,48806.0,60.83,0.0,0.0,0.0,0.0,15692.5,0.0
109198121,85268.33,212.0,1.0,52.14,6.0,39354.62,26.07,0.0,5.0,60.83,0.0,16641.0,0.0
44302616,104011.4,51.0,1.0,60.83,5.0,34670.47,22.81,0.0,0.0,0.0,0.0,20900.0,0.0
2058476,102580.0,180.0,1.0,121.67,2.0,51290.0,73.0,0.0,2.0,121.67,0.0,18530.0,0.0
1291134,78800.0,101.0,1.0,182.5,1.0,39400.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
14664450,80460.0,0.0,1.0,121.67,2.0,32184.0,60.83,0.0,1.0,182.5,0.0,0.0,0.0
108103905,75080.0,93.0,1.0,60.83,5.0,37540.0,33.18,262.0,0.0,0.0,0.0,9900.0,0.0
11337540,103300.0,151.0,1.0,121.67,2.0,25825.0,40.56,0.0,1.0,182.5,0.0,15186.67,0.0
4617492,77545.0,126.0,1.0,121.67,2.0,51696.67,91.25,0.0,0.0,0.0,0.0,0.0,0.0
24458779,80552.5,68.0,0.0,73.0,4.0,53701.67,52.14,0.0,10.0,33.18,182.5,10550.0,52.14
1792973,78900.0,105.0,1.0,182.5,1.0,26300.0,91.25,0.0,0.0,0.0,0.0,9900.0,0.0
34988592,87281.86,9.0,1.0,24.33,14.0,45257.26,13.04,0.0,0.0,0.0,0.0,13441.25,0.0
25980552,98254.55,11.0,1.0,30.42,11.0,36026.67,11.77,0.0,0.0,0.0,0.0,15899.57,0.0
6047777,85325.38,19.0,1.0,26.07,13.0,58380.53,18.25,0.0,1.0,182.5,0.0,15367.78,0.0
104005947,76697.5,65.0,1.0,73.0,4.0,51131.67,52.14,0.0,0.0,0.0,0.0,14780.0,0.0
104490885,76926.67,69.0,1.0,91.25,3.0,32968.57,45.63,0.0,15.0,22.81,0.0,14570.0,0.0
725279,83137.5,19.0,1.0,28.08,12.0,47507.14,16.59,0.0,0.0,0.0,0.0,15464.0,0.0
20226901,77659.5,146.0,1.0,73.0,4.0,38829.75,40.56,0.0,0.0,0.0,0.0,13220.46,0.0
5231828,76627.5,50.0,1.0,73.0,4.0,43787.14,45.63,0.0,1.0,182.5,0.0,8953.33,0.0
112730487,102370.0,15.0,1.0,121.67,2.0,51185.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
580329,78920.0,44.0,1.0,182.5,1.0,39460.0,121.67,0.0,4.0,73.0,0.0,0.0,0.0
152909,94330.0,204.0,1.0,182.5,1.0,31443.33,91.25,0.0,3.0,91.25,0.0,0.0,0.0
21141107,77670.0,40.0,1.0,182.5,1.0,38835.0,121.67,78.0,0.0,0.0,0.0,9900.0,0.0
10110231,103503.33,188.0,1.0,91.25,3.0,44358.57,45.63,185.0,1.0,182.5,0.0,0.0,0.0
2989715,102545.56,63.0,1.0,36.5,9.0,32961.07,12.59,0.0,0.0,0.0,0.0,11335.0,0.0
19858063,79944.29,16.0,1.0,45.63,7.0,55961.0,33.18,0.0,2.0,121.67,0.0,10855.56,0.0
3176002,82060.0,167.0,1.0,182.5,1.0,41030.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
3875388,86873.33,1.0,1.0,28.08,12.0,34749.33,11.77,0.0,7.0,45.63,0.0,0.0,0.0
103659,79120.0,118.0,1.0,182.5,1.0,39560.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
17493589,76172.0,70.0,1.0,73.0,4.0,50781.33,52.14,0.0,8.0,40.56,0.0,16673.33,0.0
107395109,78374.0,138.0,1.0,60.83,5.0,39187.0,33.18,0.0,0.0,0.0,0.0,0.0,0.0
14229908,80220.0,129.0,1.0,182.5,1.0,26740.0,91.25,0.0,0.0,0.0,0.0,0.0,0.0
53207356,86562.5,101.0,1.0,21.47,16.0,60217.39,15.21,0.0,0.0,0.0,0.0,21272.0,0.0
1535601,84455.0,209.0,1.0,121.67,2.0,56303.33,91.25,0.0,1.0,182.5,0.0,15000.0,0.0
53094666,98636.38,19.0,1.0,26.07,13.0,35618.69,9.86,0.0,3.0,91.25,0.0,16691.29,0.0
3505738,81830.0,184.0,1.0,121.67,2.0,54553.33,91.25,0.0,0.0,0.0,0.0,0.0,0.0
100913482,81603.33,181.0,1.0,52.14,6.0,34972.86,24.33,0.0,0.0,0.0,0.0,16525.0,0.0
33742970,77625.67,49.0,1.0,91.25,3.0,33268.14,45.63,0.0,0.0,0.0,0.0,0.0,0.0
21845919,88160.0,199.0,1.0,182.5,1.0,44080.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
29593891,101450.0,1.0,1.0,73.0,4.0,50725.0,40.56,0.0,0.0,0.0,0.0,21336.67,0.0
3832747,80740.0,173.0,1.0,182.5,1.0,40370.0,121.67,0.0,3.0,91.25,0.0,9900.0,0.0
21685298,77454.0,48.0,1.0,60.83,5.0,38727.0,33.18,0.0,0.0,0.0,0.0,19443.33,0.0
511558,83600.0,50.0,1.0,182.5,1.0,13933.33,52.14,0.0,0.0,0.0,0.0,0.0,0.0
24123990,87834.55,2.0,1.0,30.42,11.0,31167.1,11.41,0.0,0.0,0.0,0.0,0.0,0.0
68614430,81239.79,32.0,1.0,24.33,14.0,49450.3,15.21,301.0,10.0,33.18,0.0,15625.0,0.0
57170890,88746.0,18.0,1.0,22.81,15.0,36977.5,9.86,0.0,13.0,26.07,0.0,12192.0,0.0
898081,77800.0,77.0,1.0,182.5,1.0,38900.0,121.67,0.0,1.0,182.5,0.0,9900.0,0.0
100266069,79468.0,15.0,1.0,60.83,5.0,39734.0,33.18,0.0,0.0,0.0,0.0,24606.67,0.0
1996514,77513.33,73.0,1.0,52.14,6.0,33220.0,24.33,0.0,0.0,0.0,0.0,15402.5,0.0
112596683,83860.91,5.0,1.0,30.42,11.0,40107.39,15.21,0.0,0.0,0.0,0.0,14995.0,0.0
57185,85505.08,10.0,1.0,26.07,13.0,38329.86,12.17,0.0,0.0,0.0,0.0,14231.18,0.0
6612309,77595.0,128.0,1.0,121.67,2.0,51730.0,91.25,0.0,0.0,0.0,0.0,0.0,0.0
4968230,93256.67,207.0,1.0,91.25,3.0,25433.64,30.42,0.0,0.0,0.0,0.0,0.0,0.0
6344855,80472.0,12.0,1.0,60.83,5.0,28740.0,24.33,0.0,0.0,0.0,0.0,11670.0,0.0
37966260,85721.25,11.0,1.0,21.47,16.0,34288.5,8.9,116.0,0.0,0.0,0.0,15705.71,0.0
13859371,76686.36,9.0,1.0,30.42,11.0,40169.05,16.59,0.0,0.0,0.0,40.56,17121.43,18.25
18931388,103893.6,30.0,1.0,60.83,5.0,34631.2,22.81,0.0,5.0,60.83,0.0,17343.0,0.0
112227537,81440.0,166.0,1.0,182.5,1.0,40720.0,121.67,0.0,1.0,182.5,0.0,0.0,0.0
106506279,98813.0,24.0,1.0,33.18,10.0,31875.16,11.41,0.0,0.0,0.0,0.0,0.0,0.0
29573003,78956.25,62.0,1.0,40.56,8.0,30078.57,16.59,0.0,0.0,0.0,0.0,17428.33,0.0
2541486,84548.06,21.0,1.0,20.28,17.0,33425.98,8.3,158.0,9.0,36.5,0.0,13080.85,0.0
58354036,86080.0,193.0,1.0,182.5,1.0,43040.0,121.67,0.0,0.0,0.0,0.0,0.0,0.0
76451036,87625.0,222.0,1.0,121.67,2.0,35050.0,60.83,0.0,0.0,0.0,0.0,17580.0,0.0
6595192,78184.0,30.0,1.0,60.83,5.0,39092.0,33.18,0.0,0.0,0.0,0.0,14955.0,0.0
296939,77510.8,84.0,1.0,60.83,5.0,35232.18,30.42,0.0,0.0,0.0,0.0,0.0,0.0
48279009,79482.73,33.0,1.0,30.42,11.0,54644.38,21.47,99.0,0.0,0.0,0.0,12724.79,0.0
