idx,feature,sym,code,category
309,ctv095,ctv,095,"Snacks, Coffee & Tea - Snacks"
310,ctv096,ctv,096,Sporting Goods - Exercise & Fitness
311,ctv097,ctv,097,Sporting Goods - Outdoor & Camping
312,ctv098,ctv,098,Sporting Goods - Sports Equipment
313,ctv099,ctv,099,Stationery - Arts & Hobbies
314,ctv100,ctv,100,Stationery - Novelty
315,ctv101,ctv,101,Stationery - Office Supplies
316,ctv102,ctv,102,Toys - Baby Toys
317,ctv103,ctv,103,Toys - Kids Toys
318,ctv104,ctv,104,Toys - Kidult Toys
319,ctv105,ctv,105,all
320,ctv106,ctv,106,null
321,cts001,cts,001,Accessory - Bag
322,cts002,cts,002,Accessory - Other Accessory
323,cts003,cts,003,Accessory - Suitcase
324,cts004,cts,004,Accessory - Watch & Jewely & Glasses
325,cts005,cts,005,Apparel - Baby Fashion
326,cts006,cts,006,Apparel - Casual Clothes
327,cts007,cts,007,Apparel - Men Clothes
328,cts008,cts,008,Apparel - Sports Clothes
329,cts009,cts,009,Apparel - Underwear & Homewear
330,cts010,cts,010,Apparel - Women Clothes
331,cts011,cts,011,Baby Convenience - Baby Home
332,cts012,cts,012,Baby Convenience - Feeding Accessories
333,cts013,cts,013,Baby Convenience - Nursery & Safety
334,cts014,cts,014,Baby Convenience - Strollers & Carseats
335,cts015,cts,015,Baby Core - Diapering
336,cts016,cts,016,Baby Core - Formula
337,cts017,cts,017,Baby Core - Wipes
338,cts018,cts,018,Baby Necessaries - Baby Detergent
339,cts019,cts,019,Baby Necessaries - Baby Foods
340,cts020,cts,020,Baby Necessaries - Mom & Baby Care
341,cts021,cts,021,Beauty - Fragrance
342,cts022,cts,022,Beauty - Makeup
343,cts023,cts,023,Beauty - Nailcare
344,cts024,cts,024,Beauty - Skin Care
345,cts025,cts,025,Beauty - Tools & Accessories
346,cts026,cts,026,Beverages - Drinks
347,cts027,cts,027,Beverages - Water
348,cts028,cts,028,Books - Children Books
349,cts029,cts,029,Books - Education Books
350,cts030,cts,030,Books - Foreign Books
351,cts031,cts,031,Books - General Books
352,cts032,cts,032,Books - Other Media
353,cts033,cts,033,Car Accessories - Car Charger & Others
354,cts034,cts,034,Car Accessories - Car Electronics
355,cts035,cts,035,Car Accessories - Car Interior & Exterior
356,cts036,cts,036,Car Accessories - Car Tools & DIY
357,cts037,cts,037,Computer & Digital - Cell Phone & Acc.
358,cts038,cts,038,Computer & Digital - Computer
359,cts039,cts,039,Computer & Digital - Digital
360,cts040,cts,040,Computer & Digital - PC & Video Game
361,cts041,cts,041,Domestic Travel - Accommodation_Boutique
362,cts042,cts,042,Domestic Travel - Accommodation_Hotel
363,cts043,cts,043,Domestic Travel - Accommodation_Instant Pension
364,cts044,cts,044,Domestic Travel - Accommodation_Pension
365,cts045,cts,045,Domestic Travel - Accommodation_Resort
366,cts046,cts,046,Domestic Travel - Accommodation_Sub Pension
367,cts047,cts,047,Domestic Travel - Air/Transportation
368,cts048,cts,048,Domestic Travel - Car Rental
369,cts049,cts,049,Domestic Travel - Package
370,cts050,cts,050,Domestic Travel - Ticket/Pass
371,cts051,cts,051,Electronics - AV
372,cts052,cts,052,Electronics - Beauty Appliance
373,cts053,cts,053,Electronics - Health Appliance
374,cts054,cts,054,Electronics - Living Appliance
375,cts055,cts,055,Electronics - Seasonal Appliance
376,cts056,cts,056,"Fresh, Cold & Frozen - Cold & Frozen Food"
377,cts057,cts,057,"Fresh, Cold & Frozen - Fresh"
378,cts058,cts,058,Home - Bath Acc. & Household Cleaning
379,cts059,cts,059,Home - Bedding & Handcraft & Curtain
380,cts060,cts,060,Home - Furniture & Storage
381,cts061,cts,061,Home - Home Deco
382,cts062,cts,062,Home - Tools & Home Improvement
383,cts063,cts,063,Household - Detergent
384,cts064,cts,064,Household - Tissue
385,cts065,cts,065,Kitchen - Cookware
