member_srl,dpo087,dpo090,cto089,dpo089,cto087,cto090,dpq087,dpq090,dpq089,aas089,gpd089,cto088,gpd087
11230748,30.42,11.77,12.0,28.08,11.0,30.0,16.59,2.5,3.54,884940.0,2417.87,12.0,678.61
8515532,33.18,11.06,12.0,28.08,10.0,32.0,26.07,6.29,28.08,203120.0,554.97,21.0,599.32
16772835,22.81,15.21,14.0,24.33,15.0,23.0,11.06,6.52,9.13,182260.0,497.98,16.0,742.35
372351,24.33,33.18,5.0,60.83,14.0,10.0,15.87,30.42,60.83,108140.0,295.46,10.0,1058.87
6726013,21.47,20.28,8.0,40.56,16.0,17.0,18.25,8.3,40.56,280350.0,765.98,9.0,1308.36
5043887,21.47,15.87,14.0,24.33,16.0,22.0,16.59,9.13,6.89,449590.0,1228.39,6.0,1749.45
1129193,60.83,22.81,16.0,21.47,5.0,15.0,26.07,6.76,7.6,491620.0,1343.22,9.0,310.93
21169473,21.47,17.38,10.0,33.18,16.0,20.0,18.25,5.62,24.33,317370.0,867.13,8.0,1259.29
9280441,24.33,14.6,21.0,16.59,14.0,24.0,9.61,7.93,5.0,768900.0,2100.82,11.0,996.07
2158753,52.14,13.52,8.0,40.56,6.0,26.0,30.42,7.16,22.81,114170.0,311.94,6.0,152.3
28790,18.25,28.08,10.0,33.18,19.0,12.0,15.87,21.47,21.47,162600.0,444.26,14.0,1146.56
104809396,45.63,12.17,25.0,14.04,7.0,29.0,45.63,7.6,6.08,513530.0,1403.09,0.0,227.81
56886390,52.14,12.59,13.0,26.07,6.0,28.0,52.14,5.7,19.21,173550.0,474.18,0.0,198.93
9716852,21.47,22.81,7.0,45.63,16.0,15.0,13.04,9.61,45.63,75890.0,207.35,21.0,2478.63
8056103,22.81,14.6,19.0,18.25,15.0,24.0,12.59,8.69,7.93,594100.0,1623.22,2.0,1004.34
199633,19.21,24.33,9.0,36.5,18.0,14.0,12.59,18.25,28.08,104905.0,286.63,10.0,1527.37
2766296,19.21,20.28,13.0,26.07,18.0,17.0,8.9,10.43,10.74,207070.0,565.77,8.0,1006.99
26026197,28.08,12.17,22.0,15.87,12.0,29.0,24.33,6.89,10.43,208500.0,569.67,25.0,631.39
477858,19.21,52.14,14.0,24.33,18.0,6.0,9.36,40.56,10.74,298110.0,814.51,5.0,1663.31
